Category;Statistic;Per 90;Percentile
Standard Stats;Goals;0.18;85
Standard Stats;Assists;0.08;52
Standard Stats;Goals + Assists;0.26;74
Standard Stats;Non-Penalty Goals;0.10;68
Standard Stats;Penalty Kicks Made;0.08;96
Standard Stats;Penalty Kicks Attempted;0.10;96
Standard Stats;Yellow Cards;0.03;99
Standard Stats;Red Cards;0.00;59
Standard Stats;xG: Expected Goals;0.15;84
Standard Stats;npxG: Non-Penalty xG;0.07;47
Standard Stats;xAG: Exp. Assisted Goals;0.12;73
Standard Stats;npxG + xAG;0.19;64
Standard Stats;Progressive Carries;1.99;83
Standard Stats;Progressive Passes;8.44;95
Standard Stats;Progressive Passes Rec;2.01;57
Shooting;Goals;0.18;85
Shooting;Shots Total;1.16;64
Shooting;Shots on Target;0.44;77
Shooting;Shots on Target %;37.8;81
Shooting;Goals/Shot;0.09;64
Shooting;Goals/Shot on Target;0.24;44
Shooting;Average Shot Distance;26.10;6
Shooting;Shots from Free Kicks;0.05;79
Shooting;Penalty Kicks Made;0.08;96
Shooting;Penalty Kicks Attempted;0.10;96
Shooting;xG: Expected Goals;0.15;84
Shooting;npxG: Non-Penalty xG;0.07;47
Shooting;npxG/Shot;0.06;37
Shooting;Goals - xG;+0.03;82
Shooting;Non-Penalty Goals - npxG;+0.04;83
Passing;Passes Completed;91.42;99
Passing;Passes Attempted;98.33;99
Passing;Pass Completion %;93.0;99
Passing;Total Passing Distance;1620.31;99
Passing;Progressive Passing Distance;361.06;96
Passing;Passes Completed (Short);41.56;98
Passing;Passes Attempted (Short);43.28;97
Passing;Pass Completion % (Short);96.0;99
Passing;Passes Completed (Medium);37.15;99
Passing;Passes Attempted (Medium);38.93;99
Passing;Pass Completion % (Medium);95.4;99
Passing;Passes Completed (Long);10.37;99
Passing;Passes Attempted (Long);12.23;97
Passing;Pass Completion % (Long);84.8;98
Passing;Assists;0.08;52
Passing;xAG: Exp. Assisted Goals;0.12;73
Passing;xA: Expected Assists;0.17;87
Passing;Key Passes;1.29;75
Passing;Passes into Final Third;9.91;97
Passing;Passes into Penalty Area;1.50;93
Passing;Crosses into Penalty Area;0.15;69
